name,value
Australia,Will be released
Austria,Will be released
Belgium,Will be released
Brazil,Will be released
Bulgaria,Will be released
Canada,Will be released
Croatia,Will be released
Cyprus,Will be released
Czech Republic,Will be released
Denmark,Will be released
Estonia,Will be released
Finland,Will be released
France,Will be released
Germany,Will be released
Greece,Will be released
Hungary,Will be released
Ireland,Will be released
Italy,Will be released
Japan,Will be released
Latvia,Will be released
Lithuania,Will be released
Luxembourg,Will be released
Malta,Will be released
Mexico,Will be released
Netherlands,Will be released
New Zealand,Will be released
Norway,Will be released
Poland,Will be released
Portugal,Will be released
Romania,Will be released
Russia,Will be released
Slovakia,Will be released
Slovenia,Will be released
South Africa,Will be released
Spain,Will be released
Sweden,Will be released
Switzerland,Will be released
Great Britain,Will be released
United States of America,Will be released